personagem,posicao,linha,coluna,arquivo,expressao_principal,interpretacao_visual
fashionista,35,6,5,por_personagem/fashionista/35_analisando.png,Modo “analisando”,Tablet/clipboard/pose de trabalho e análise
fashionista,36,6,6,por_personagem/fashionista/36_segredo_sussurro.png,Modo “segredo / sussurro”,Mão perto da boca/pose de confidência
lobinha_spooky,1,1,1,por_personagem/lobinha_spooky/01_feliz_sorrindo.png,Feliz / sorrindo,"Expressão alegre, sorriso aberto; em algumas cartelas também sugere abraço/acolhimento"
lobinha_spooky,2,1,2,por_personagem/lobinha_spooky/02_rindo.png,Rindo,"Risada evidente, olhos fechados ou gesto de humor"
lobinha_spooky,3,1,3,por_personagem/lobinha_spooky/03_muito_empolgada.png,MUITO empolgada / MUITO animada,"Entusiasmo forte, punhos erguidos e/ou marcas de exclamação"
lobinha_spooky,4,1,4,por_personagem/lobinha_spooky/04_piscando_brincando.png,Piscando / brincando,"Piscadinha, finger-gun/gesto brincalhão; também funciona para provocação leve"
lobinha_spooky,5,1,5,por_personagem/lobinha_spooky/05_carinhosa_fofa.png,Carinhosa / fofa,"Pose doce, rosto apoiado nas mãos e/ou corações"
lobinha_spooky,6,1,6,por_personagem/lobinha_spooky/06_apaixonada_encantada.png,Apaixonada / encantada,"Coração grande/corações, expressão afetiva"
lobinha_spooky,7,2,1,por_personagem/lobinha_spooky/07_aprovando_concordando.png,Aprovando / concordando,Joinha/gesto positivo
lobinha_spooky,8,2,2,por_personagem/lobinha_spooky/08_surpresa.png,Surpresa,"Olhos abertos, boca aberta e exclamação"
lobinha_spooky,9,2,3,por_personagem/lobinha_spooky/09_chocada.png,Chocada,"Surpresa intensa/pânico, mãos abertas e/ou gotas de suor"
lobinha_spooky,10,2,4,por_personagem/lobinha_spooky/10_confusa.png,Confusa,Interrogação e gesto de dúvida
lobinha_spooky,11,2,5,por_personagem/lobinha_spooky/11_pensativa.png,Pensativa,"Mão no queixo, olhar reflexivo"
lobinha_spooky,12,2,6,por_personagem/lobinha_spooky/12_curiosa.png,Curiosa,Inclinação da cabeça/olhar investigativo
lobinha_spooky,13,3,1,por_personagem/lobinha_spooky/13_concentrada_seria.png,Concentrada / séria,"Expressão focada, neutra ou mais firme"
lobinha_spooky,14,3,2,por_personagem/lobinha_spooky/14_negando_desaprovando.png,Negando / desaprovando,Braços em X/gesto explícito de não
lobinha_spooky,15,3,3,por_personagem/lobinha_spooky/15_envergonhada_timida.png,Envergonhada,Rubor e rosto parcialmente escondido; também funciona para timidez
lobinha_spooky,16,3,4,por_personagem/lobinha_spooky/16_triste_chateada.png,Triste,Olhar baixo/teary/abraçando-se; também funciona para chateada
lobinha_spooky,17,3,5,por_personagem/lobinha_spooky/17_brava_irritada.png,Brava / irritada,Sobrancelhas cerradas e símbolo de raiva
lobinha_spooky,18,3,6,por_personagem/lobinha_spooky/18_frustrada.png,Frustrada,Mãos na cabeça/cabelo e expressão de estresse
lobinha_spooky,19,4,1,por_personagem/lobinha_spooky/19_preocupada_ansiosa.png,Preocupada,Mãos juntas/olhar apreensivo; também aproxima nervosa/ansiosa
lobinha_spooky,20,4,2,por_personagem/lobinha_spooky/20_com_medo_assustada.png,Com medo / assustada,"Olhos arregalados, tensão e gotas de suor"
lobinha_spooky,21,4,3,por_personagem/lobinha_spooky/21_cansada_com_sono.png,Cansada / com sono,Bocejo/olhos semicerrados
lobinha_spooky,22,4,4,por_personagem/lobinha_spooky/22_entediada.png,Entediada,Cabeça apoiada na mão/olhar sem energia
lobinha_spooky,23,4,5,por_personagem/lobinha_spooky/23_pedindo_desculpas.png,Pedindo desculpas,Mãos juntas/gesto de desculpa ou pedido
lobinha_spooky,24,4,6,por_personagem/lobinha_spooky/24_ops_erro_leve.png,Modo “ops” / erro leve,"Pose descontraída/sem graça, frequentemente mão atrás da cabeça ou piscadinha"
lobinha_spooky,25,5,1,por_personagem/lobinha_spooky/25_comemorando.png,Comemorando,Braços erguidos/confetes/festa
lobinha_spooky,26,5,2,por_personagem/lobinha_spooky/26_tive_uma_ideia.png,Tive uma ideia,Lâmpada/indicador visual de ideia
lobinha_spooky,27,5,3,por_personagem/lobinha_spooky/27_explicando_algo.png,Explicando algo,Mãos abertas/apresentando uma explicação
lobinha_spooky,28,5,4,por_personagem/lobinha_spooky/28_escutando_atenta.png,Escutando / atenta,Mão na orelha/pose de atenção
lobinha_spooky,29,5,5,por_personagem/lobinha_spooky/29_entendi.png,Entendi,Sinal de OK/expressão de compreensão
lobinha_spooky,30,5,6,por_personagem/lobinha_spooky/30_nao_entendi.png,Não entendi,Encolher de ombros/interrogações
lobinha_spooky,31,6,1,por_personagem/lobinha_spooky/31_elogiando_usuario.png,Elogiando o usuário,Joinhas/sparkles/elogio visual forte
lobinha_spooky,32,6,2,por_personagem/lobinha_spooky/32_motivando_incentivando.png,Motivando / incentivando,Punho erguido/gesto de incentivo
lobinha_spooky,33,6,3,por_personagem/lobinha_spooky/33_confortando.png,Confortando,Mão estendida/gesto acolhedor
lobinha_spooky,34,6,4,por_personagem/lobinha_spooky/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,"Postura determinada, punho fechado e expressão confiante"
lobinha_spooky,35,6,5,por_personagem/lobinha_spooky/35_analisando.png,Modo “analisando”,Tablet/clipboard/pose de trabalho e análise
lobinha_spooky,36,6,6,por_personagem/lobinha_spooky/36_segredo_sussurro.png,Modo “segredo / sussurro”,Mão perto da boca/pose de confidência
vampirinha_gotica,1,1,1,por_personagem/vampirinha_gotica/01_feliz_sorrindo.png,Feliz / sorrindo,"Expressão alegre, sorriso aberto; em algumas cartelas também sugere abraço/acolhimento"
vampirinha_gotica,2,1,2,por_personagem/vampirinha_gotica/02_rindo.png,Rindo,"Risada evidente, olhos fechados ou gesto de humor"
vampirinha_gotica,3,1,3,por_personagem/vampirinha_gotica/03_muito_empolgada.png,MUITO empolgada / MUITO animada,"Entusiasmo forte, punhos erguidos e/ou marcas de exclamação"
vampirinha_gotica,4,1,4,por_personagem/vampirinha_gotica/04_piscando_brincando.png,Piscando / brincando,"Piscadinha, finger-gun/gesto brincalhão; também funciona para provocação leve"
vampirinha_gotica,5,1,5,por_personagem/vampirinha_gotica/05_carinhosa_fofa.png,Carinhosa / fofa,"Pose doce, rosto apoiado nas mãos e/ou corações"
vampirinha_gotica,6,1,6,por_personagem/vampirinha_gotica/06_apaixonada_encantada.png,Apaixonada / encantada,"Coração grande/corações, expressão afetiva"
vampirinha_gotica,7,2,1,por_personagem/vampirinha_gotica/07_aprovando_concordando.png,Aprovando / concordando,Joinha/gesto positivo
vampirinha_gotica,8,2,2,por_personagem/vampirinha_gotica/08_surpresa.png,Surpresa,"Olhos abertos, boca aberta e exclamação"
vampirinha_gotica,9,2,3,por_personagem/vampirinha_gotica/09_chocada.png,Chocada,"Surpresa intensa/pânico, mãos abertas e/ou gotas de suor"
vampirinha_gotica,10,2,4,por_personagem/vampirinha_gotica/10_confusa.png,Confusa,Interrogação e gesto de dúvida
vampirinha_gotica,11,2,5,por_personagem/vampirinha_gotica/11_pensativa.png,Pensativa,"Mão no queixo, olhar reflexivo"
vampirinha_gotica,12,2,6,por_personagem/vampirinha_gotica/12_curiosa.png,Curiosa,Inclinação da cabeça/olhar investigativo
vampirinha_gotica,13,3,1,por_personagem/vampirinha_gotica/13_concentrada_seria.png,Concentrada / séria,"Expressão focada, neutra ou mais firme"
vampirinha_gotica,14,3,2,por_personagem/vampirinha_gotica/14_negando_desaprovando.png,Negando / desaprovando,Braços em X/gesto explícito de não
vampirinha_gotica,15,3,3,por_personagem/vampirinha_gotica/15_envergonhada_timida.png,Envergonhada,Rubor e rosto parcialmente escondido; também funciona para timidez
vampirinha_gotica,16,3,4,por_personagem/vampirinha_gotica/16_triste_chateada.png,Triste,Olhar baixo/teary/abraçando-se; também funciona para chateada
vampirinha_gotica,17,3,5,por_personagem/vampirinha_gotica/17_brava_irritada.png,Brava / irritada,Sobrancelhas cerradas e símbolo de raiva
vampirinha_gotica,18,3,6,por_personagem/vampirinha_gotica/18_frustrada.png,Frustrada,Mãos na cabeça/cabelo e expressão de estresse
vampirinha_gotica,19,4,1,por_personagem/vampirinha_gotica/19_preocupada_ansiosa.png,Preocupada,Mãos juntas/olhar apreensivo; também aproxima nervosa/ansiosa
vampirinha_gotica,20,4,2,por_personagem/vampirinha_gotica/20_com_medo_assustada.png,Com medo / assustada,"Olhos arregalados, tensão e gotas de suor"
vampirinha_gotica,21,4,3,por_personagem/vampirinha_gotica/21_cansada_com_sono.png,Cansada / com sono,Bocejo/olhos semicerrados
vampirinha_gotica,22,4,4,por_personagem/vampirinha_gotica/22_entediada.png,Entediada,Cabeça apoiada na mão/olhar sem energia
vampirinha_gotica,23,4,5,por_personagem/vampirinha_gotica/23_pedindo_desculpas.png,Pedindo desculpas,Mãos juntas/gesto de desculpa ou pedido
vampirinha_gotica,24,4,6,por_personagem/vampirinha_gotica/24_ops_erro_leve.png,Modo “ops” / erro leve,"Pose descontraída/sem graça, frequentemente mão atrás da cabeça ou piscadinha"
vampirinha_gotica,25,5,1,por_personagem/vampirinha_gotica/25_comemorando.png,Comemorando,Braços erguidos/confetes/festa
vampirinha_gotica,26,5,2,por_personagem/vampirinha_gotica/26_tive_uma_ideia.png,Tive uma ideia,Lâmpada/indicador visual de ideia
vampirinha_gotica,27,5,3,por_personagem/vampirinha_gotica/27_explicando_algo.png,Explicando algo,Mãos abertas/apresentando uma explicação
vampirinha_gotica,28,5,4,por_personagem/vampirinha_gotica/28_escutando_atenta.png,Escutando / atenta,Mão na orelha/pose de atenção
vampirinha_gotica,29,5,5,por_personagem/vampirinha_gotica/29_entendi.png,Entendi,Sinal de OK/expressão de compreensão
vampirinha_gotica,30,5,6,por_personagem/vampirinha_gotica/30_nao_entendi.png,Não entendi,Encolher de ombros/interrogações
vampirinha_gotica,31,6,1,por_personagem/vampirinha_gotica/31_elogiando_usuario.png,Elogiando o usuário,Joinhas/sparkles/elogio visual forte
vampirinha_gotica,32,6,2,por_personagem/vampirinha_gotica/32_motivando_incentivando.png,Motivando / incentivando,Punho erguido/gesto de incentivo
vampirinha_gotica,33,6,3,por_personagem/vampirinha_gotica/33_confortando.png,Confortando,Mão estendida/gesto acolhedor
vampirinha_gotica,34,6,4,por_personagem/vampirinha_gotica/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,"Postura determinada, punho fechado e expressão confiante"
vampirinha_gotica,35,6,5,por_personagem/vampirinha_gotica/35_analisando.png,Modo “analisando”,Tablet/clipboard/pose de trabalho e análise
vampirinha_gotica,36,6,6,por_personagem/vampirinha_gotica/36_segredo_sussurro.png,Modo “segredo / sussurro”,Mão perto da boca/pose de confidência
