personagem,ordem_solicitada,reacao_pedida,imagem_mais_proxima,expressao_primaria_da_imagem,observacao
cabelos_brancos,28,Nervosa / ansiosa,por_personagem/cabelos_brancos/19_preocupada_ansiosa.png,Preocupada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,29,Com dúvida,por_personagem/cabelos_brancos/10_confusa.png,Confusa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,30,Pedindo desculpas,por_personagem/cabelos_brancos/23_pedindo_desculpas.png,Pedindo desculpas,Correspondência direta
cabelos_brancos,31,Comemorando,por_personagem/cabelos_brancos/25_comemorando.png,Comemorando,Correspondência direta
cabelos_brancos,32,Pensando / processando resposta,por_personagem/cabelos_brancos/35_analisando.png,Modo “analisando”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,33,Tive uma ideia,por_personagem/cabelos_brancos/26_tive_uma_ideia.png,Tive uma ideia,Correspondência direta
cabelos_brancos,34,Explicando algo,por_personagem/cabelos_brancos/27_explicando_algo.png,Explicando algo,Correspondência direta
cabelos_brancos,35,Escutando / atenta,por_personagem/cabelos_brancos/28_escutando_atenta.png,Escutando / atenta,Correspondência direta
cabelos_brancos,36,Não entendi,por_personagem/cabelos_brancos/30_nao_entendi.png,Não entendi,Correspondência direta
cabelos_brancos,37,Entendi,por_personagem/cabelos_brancos/29_entendi.png,Entendi,Correspondência direta
cabelos_brancos,38,Elogiando o usuário,por_personagem/cabelos_brancos/31_elogiando_usuario.png,Elogiando o usuário,Correspondência direta
cabelos_brancos,39,Motivando / incentivando,por_personagem/cabelos_brancos/32_motivando_incentivando.png,Motivando / incentivando,Correspondência direta
cabelos_brancos,40,Confortando,por_personagem/cabelos_brancos/33_confortando.png,Confortando,Correspondência direta
cabelos_brancos,41,Modo “vamos resolver isso”,por_personagem/cabelos_brancos/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência direta
cabelos_brancos,42,Modo “isso ficou incrível”,por_personagem/cabelos_brancos/31_elogiando_usuario.png,Elogiando o usuário,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,43,Modo “ops” / erro leve,por_personagem/cabelos_brancos/24_ops_erro_leve.png,Modo “ops” / erro leve,Correspondência direta
cabelos_brancos,44,Modo “analisando”,por_personagem/cabelos_brancos/35_analisando.png,Modo “analisando”,Correspondência direta
cabelos_brancos,45,Modo “aguardando”,por_personagem/cabelos_brancos/28_escutando_atenta.png,Escutando / atenta,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,46,Modo “sugestão”,por_personagem/cabelos_brancos/27_explicando_algo.png,Explicando algo,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,47,Modo “alerta”,por_personagem/cabelos_brancos/08_surpresa.png,Surpresa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,48,Modo “segredo / sussurro”,por_personagem/cabelos_brancos/36_segredo_sussurro.png,Modo “segredo / sussurro”,Correspondência direta
cabelos_brancos,49,Modo “zoeira leve”,por_personagem/cabelos_brancos/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,1,Feliz / sorrindo,por_personagem/fashionista/01_feliz_sorrindo.png,Feliz / sorrindo,Correspondência direta
fashionista,2,Rindo,por_personagem/fashionista/02_rindo.png,Rindo,Correspondência direta
fashionista,3,Empolgada / animada,por_personagem/fashionista/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,4,MUITO empolgada / MUITO animada,por_personagem/fashionista/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência direta
fashionista,5,Orgulhosa / confiante,por_personagem/fashionista/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,6,Carinhosa / fofa,por_personagem/fashionista/05_carinhosa_fofa.png,Carinhosa / fofa,Correspondência direta
fashionista,7,Apaixonada / encantada,por_personagem/fashionista/06_apaixonada_encantada.png,Apaixonada / encantada,Correspondência direta
fashionista,8,Piscando / brincando,por_personagem/fashionista/04_piscando_brincando.png,Piscando / brincando,Correspondência direta
fashionista,9,Travessa / provocando,por_personagem/fashionista/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,10,Surpresa,por_personagem/fashionista/08_surpresa.png,Surpresa,Correspondência direta
fashionista,11,Chocada,por_personagem/fashionista/09_chocada.png,Chocada,Correspondência direta
fashionista,12,Confusa,por_personagem/fashionista/10_confusa.png,Confusa,Correspondência direta
fashionista,13,Pensativa,por_personagem/fashionista/11_pensativa.png,Pensativa,Correspondência direta
fashionista,14,Curiosa,por_personagem/fashionista/12_curiosa.png,Curiosa,Correspondência direta
fashionista,15,Concentrada / séria,por_personagem/fashionista/13_concentrada_seria.png,Concentrada / séria,Correspondência direta
fashionista,16,Aprovando / concordando,por_personagem/fashionista/07_aprovando_concordando.png,Aprovando / concordando,Correspondência direta
fashionista,17,Negando / desaprovando,por_personagem/fashionista/14_negando_desaprovando.png,Negando / desaprovando,Correspondência direta
fashionista,18,Envergonhada,por_personagem/fashionista/15_envergonhada_timida.png,Envergonhada,Correspondência direta
fashionista,19,Tímida,por_personagem/fashionista/15_envergonhada_timida.png,Envergonhada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,20,Triste,por_personagem/fashionista/16_triste_chateada.png,Triste,Correspondência direta
fashionista,21,Chateada,por_personagem/fashionista/16_triste_chateada.png,Triste,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,22,Brava / irritada,por_personagem/fashionista/17_brava_irritada.png,Brava / irritada,Correspondência direta
fashionista,23,Frustrada,por_personagem/fashionista/18_frustrada.png,Frustrada,Correspondência direta
fashionista,24,Preocupada,por_personagem/fashionista/19_preocupada_ansiosa.png,Preocupada,Correspondência direta
fashionista,25,Com medo / assustada,por_personagem/fashionista/20_com_medo_assustada.png,Com medo / assustada,Correspondência direta
fashionista,26,Cansada / com sono,por_personagem/fashionista/21_cansada_com_sono.png,Cansada / com sono,Correspondência direta
fashionista,27,Entediada,por_personagem/fashionista/22_entediada.png,Entediada,Correspondência direta
fashionista,28,Nervosa / ansiosa,por_personagem/fashionista/19_preocupada_ansiosa.png,Preocupada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,29,Com dúvida,por_personagem/fashionista/10_confusa.png,Confusa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,30,Pedindo desculpas,por_personagem/fashionista/23_pedindo_desculpas.png,Pedindo desculpas,Correspondência direta
fashionista,31,Comemorando,por_personagem/fashionista/25_comemorando.png,Comemorando,Correspondência direta
fashionista,32,Pensando / processando resposta,por_personagem/fashionista/35_analisando.png,Modo “analisando”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,33,Tive uma ideia,por_personagem/fashionista/26_tive_uma_ideia.png,Tive uma ideia,Correspondência direta
fashionista,34,Explicando algo,por_personagem/fashionista/27_explicando_algo.png,Explicando algo,Correspondência direta
fashionista,35,Escutando / atenta,por_personagem/fashionista/28_escutando_atenta.png,Escutando / atenta,Correspondência direta
fashionista,36,Não entendi,por_personagem/fashionista/30_nao_entendi.png,Não entendi,Correspondência direta
fashionista,37,Entendi,por_personagem/fashionista/29_entendi.png,Entendi,Correspondência direta
fashionista,38,Elogiando o usuário,por_personagem/fashionista/31_elogiando_usuario.png,Elogiando o usuário,Correspondência direta
fashionista,39,Motivando / incentivando,por_personagem/fashionista/32_motivando_incentivando.png,Motivando / incentivando,Correspondência direta
fashionista,40,Confortando,por_personagem/fashionista/33_confortando.png,Confortando,Correspondência direta
fashionista,41,Modo “vamos resolver isso”,por_personagem/fashionista/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência direta
fashionista,42,Modo “isso ficou incrível”,por_personagem/fashionista/31_elogiando_usuario.png,Elogiando o usuário,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,43,Modo “ops” / erro leve,por_personagem/fashionista/24_ops_erro_leve.png,Modo “ops” / erro leve,Correspondência direta
fashionista,44,Modo “analisando”,por_personagem/fashionista/35_analisando.png,Modo “analisando”,Correspondência direta
fashionista,45,Modo “aguardando”,por_personagem/fashionista/28_escutando_atenta.png,Escutando / atenta,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,46,Modo “sugestão”,por_personagem/fashionista/27_explicando_algo.png,Explicando algo,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,47,Modo “alerta”,por_personagem/fashionista/08_surpresa.png,Surpresa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
fashionista,48,Modo “segredo / sussurro”,por_personagem/fashionista/36_segredo_sussurro.png,Modo “segredo / sussurro”,Correspondência direta
fashionista,49,Modo “zoeira leve”,por_personagem/fashionista/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,1,Feliz / sorrindo,por_personagem/lobinha_spooky/01_feliz_sorrindo.png,Feliz / sorrindo,Correspondência direta
lobinha_spooky,2,Rindo,por_personagem/lobinha_spooky/02_rindo.png,Rindo,Correspondência direta
lobinha_spooky,3,Empolgada / animada,por_personagem/lobinha_spooky/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,4,MUITO empolgada / MUITO animada,por_personagem/lobinha_spooky/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência direta
lobinha_spooky,5,Orgulhosa / confiante,por_personagem/lobinha_spooky/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,6,Carinhosa / fofa,por_personagem/lobinha_spooky/05_carinhosa_fofa.png,Carinhosa / fofa,Correspondência direta
lobinha_spooky,7,Apaixonada / encantada,por_personagem/lobinha_spooky/06_apaixonada_encantada.png,Apaixonada / encantada,Correspondência direta
lobinha_spooky,8,Piscando / brincando,por_personagem/lobinha_spooky/04_piscando_brincando.png,Piscando / brincando,Correspondência direta
lobinha_spooky,9,Travessa / provocando,por_personagem/lobinha_spooky/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,10,Surpresa,por_personagem/lobinha_spooky/08_surpresa.png,Surpresa,Correspondência direta
lobinha_spooky,11,Chocada,por_personagem/lobinha_spooky/09_chocada.png,Chocada,Correspondência direta
lobinha_spooky,12,Confusa,por_personagem/lobinha_spooky/10_confusa.png,Confusa,Correspondência direta
lobinha_spooky,13,Pensativa,por_personagem/lobinha_spooky/11_pensativa.png,Pensativa,Correspondência direta
lobinha_spooky,14,Curiosa,por_personagem/lobinha_spooky/12_curiosa.png,Curiosa,Correspondência direta
lobinha_spooky,15,Concentrada / séria,por_personagem/lobinha_spooky/13_concentrada_seria.png,Concentrada / séria,Correspondência direta
lobinha_spooky,16,Aprovando / concordando,por_personagem/lobinha_spooky/07_aprovando_concordando.png,Aprovando / concordando,Correspondência direta
lobinha_spooky,17,Negando / desaprovando,por_personagem/lobinha_spooky/14_negando_desaprovando.png,Negando / desaprovando,Correspondência direta
lobinha_spooky,18,Envergonhada,por_personagem/lobinha_spooky/15_envergonhada_timida.png,Envergonhada,Correspondência direta
lobinha_spooky,19,Tímida,por_personagem/lobinha_spooky/15_envergonhada_timida.png,Envergonhada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,20,Triste,por_personagem/lobinha_spooky/16_triste_chateada.png,Triste,Correspondência direta
lobinha_spooky,21,Chateada,por_personagem/lobinha_spooky/16_triste_chateada.png,Triste,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,22,Brava / irritada,por_personagem/lobinha_spooky/17_brava_irritada.png,Brava / irritada,Correspondência direta
lobinha_spooky,23,Frustrada,por_personagem/lobinha_spooky/18_frustrada.png,Frustrada,Correspondência direta
lobinha_spooky,24,Preocupada,por_personagem/lobinha_spooky/19_preocupada_ansiosa.png,Preocupada,Correspondência direta
lobinha_spooky,25,Com medo / assustada,por_personagem/lobinha_spooky/20_com_medo_assustada.png,Com medo / assustada,Correspondência direta
lobinha_spooky,26,Cansada / com sono,por_personagem/lobinha_spooky/21_cansada_com_sono.png,Cansada / com sono,Correspondência direta
lobinha_spooky,27,Entediada,por_personagem/lobinha_spooky/22_entediada.png,Entediada,Correspondência direta
lobinha_spooky,28,Nervosa / ansiosa,por_personagem/lobinha_spooky/19_preocupada_ansiosa.png,Preocupada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,29,Com dúvida,por_personagem/lobinha_spooky/10_confusa.png,Confusa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,30,Pedindo desculpas,por_personagem/lobinha_spooky/23_pedindo_desculpas.png,Pedindo desculpas,Correspondência direta
lobinha_spooky,31,Comemorando,por_personagem/lobinha_spooky/25_comemorando.png,Comemorando,Correspondência direta
lobinha_spooky,32,Pensando / processando resposta,por_personagem/lobinha_spooky/35_analisando.png,Modo “analisando”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,33,Tive uma ideia,por_personagem/lobinha_spooky/26_tive_uma_ideia.png,Tive uma ideia,Correspondência direta
lobinha_spooky,34,Explicando algo,por_personagem/lobinha_spooky/27_explicando_algo.png,Explicando algo,Correspondência direta
lobinha_spooky,35,Escutando / atenta,por_personagem/lobinha_spooky/28_escutando_atenta.png,Escutando / atenta,Correspondência direta
lobinha_spooky,36,Não entendi,por_personagem/lobinha_spooky/30_nao_entendi.png,Não entendi,Correspondência direta
lobinha_spooky,37,Entendi,por_personagem/lobinha_spooky/29_entendi.png,Entendi,Correspondência direta
lobinha_spooky,38,Elogiando o usuário,por_personagem/lobinha_spooky/31_elogiando_usuario.png,Elogiando o usuário,Correspondência direta
lobinha_spooky,39,Motivando / incentivando,por_personagem/lobinha_spooky/32_motivando_incentivando.png,Motivando / incentivando,Correspondência direta
lobinha_spooky,40,Confortando,por_personagem/lobinha_spooky/33_confortando.png,Confortando,Correspondência direta
lobinha_spooky,41,Modo “vamos resolver isso”,por_personagem/lobinha_spooky/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência direta
lobinha_spooky,42,Modo “isso ficou incrível”,por_personagem/lobinha_spooky/31_elogiando_usuario.png,Elogiando o usuário,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,43,Modo “ops” / erro leve,por_personagem/lobinha_spooky/24_ops_erro_leve.png,Modo “ops” / erro leve,Correspondência direta
lobinha_spooky,44,Modo “analisando”,por_personagem/lobinha_spooky/35_analisando.png,Modo “analisando”,Correspondência direta
lobinha_spooky,45,Modo “aguardando”,por_personagem/lobinha_spooky/28_escutando_atenta.png,Escutando / atenta,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,46,Modo “sugestão”,por_personagem/lobinha_spooky/27_explicando_algo.png,Explicando algo,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,47,Modo “alerta”,por_personagem/lobinha_spooky/08_surpresa.png,Surpresa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
lobinha_spooky,48,Modo “segredo / sussurro”,por_personagem/lobinha_spooky/36_segredo_sussurro.png,Modo “segredo / sussurro”,Correspondência direta
lobinha_spooky,49,Modo “zoeira leve”,por_personagem/lobinha_spooky/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,1,Feliz / sorrindo,por_personagem/vampirinha_gotica/01_feliz_sorrindo.png,Feliz / sorrindo,Correspondência direta
vampirinha_gotica,2,Rindo,por_personagem/vampirinha_gotica/02_rindo.png,Rindo,Correspondência direta
vampirinha_gotica,3,Empolgada / animada,por_personagem/vampirinha_gotica/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,4,MUITO empolgada / MUITO animada,por_personagem/vampirinha_gotica/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência direta
vampirinha_gotica,5,Orgulhosa / confiante,por_personagem/vampirinha_gotica/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,6,Carinhosa / fofa,por_personagem/vampirinha_gotica/05_carinhosa_fofa.png,Carinhosa / fofa,Correspondência direta
vampirinha_gotica,7,Apaixonada / encantada,por_personagem/vampirinha_gotica/06_apaixonada_encantada.png,Apaixonada / encantada,Correspondência direta
vampirinha_gotica,8,Piscando / brincando,por_personagem/vampirinha_gotica/04_piscando_brincando.png,Piscando / brincando,Correspondência direta
vampirinha_gotica,9,Travessa / provocando,por_personagem/vampirinha_gotica/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,10,Surpresa,por_personagem/vampirinha_gotica/08_surpresa.png,Surpresa,Correspondência direta
vampirinha_gotica,11,Chocada,por_personagem/vampirinha_gotica/09_chocada.png,Chocada,Correspondência direta
vampirinha_gotica,12,Confusa,por_personagem/vampirinha_gotica/10_confusa.png,Confusa,Correspondência direta
vampirinha_gotica,13,Pensativa,por_personagem/vampirinha_gotica/11_pensativa.png,Pensativa,Correspondência direta
vampirinha_gotica,14,Curiosa,por_personagem/vampirinha_gotica/12_curiosa.png,Curiosa,Correspondência direta
vampirinha_gotica,15,Concentrada / séria,por_personagem/vampirinha_gotica/13_concentrada_seria.png,Concentrada / séria,Correspondência direta
vampirinha_gotica,16,Aprovando / concordando,por_personagem/vampirinha_gotica/07_aprovando_concordando.png,Aprovando / concordando,Correspondência direta
vampirinha_gotica,17,Negando / desaprovando,por_personagem/vampirinha_gotica/14_negando_desaprovando.png,Negando / desaprovando,Correspondência direta
vampirinha_gotica,18,Envergonhada,por_personagem/vampirinha_gotica/15_envergonhada_timida.png,Envergonhada,Correspondência direta
vampirinha_gotica,19,Tímida,por_personagem/vampirinha_gotica/15_envergonhada_timida.png,Envergonhada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,20,Triste,por_personagem/vampirinha_gotica/16_triste_chateada.png,Triste,Correspondência direta
vampirinha_gotica,21,Chateada,por_personagem/vampirinha_gotica/16_triste_chateada.png,Triste,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,22,Brava / irritada,por_personagem/vampirinha_gotica/17_brava_irritada.png,Brava / irritada,Correspondência direta
vampirinha_gotica,23,Frustrada,por_personagem/vampirinha_gotica/18_frustrada.png,Frustrada,Correspondência direta
vampirinha_gotica,24,Preocupada,por_personagem/vampirinha_gotica/19_preocupada_ansiosa.png,Preocupada,Correspondência direta
vampirinha_gotica,25,Com medo / assustada,por_personagem/vampirinha_gotica/20_com_medo_assustada.png,Com medo / assustada,Correspondência direta
vampirinha_gotica,26,Cansada / com sono,por_personagem/vampirinha_gotica/21_cansada_com_sono.png,Cansada / com sono,Correspondência direta
vampirinha_gotica,27,Entediada,por_personagem/vampirinha_gotica/22_entediada.png,Entediada,Correspondência direta
vampirinha_gotica,28,Nervosa / ansiosa,por_personagem/vampirinha_gotica/19_preocupada_ansiosa.png,Preocupada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,29,Com dúvida,por_personagem/vampirinha_gotica/10_confusa.png,Confusa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,30,Pedindo desculpas,por_personagem/vampirinha_gotica/23_pedindo_desculpas.png,Pedindo desculpas,Correspondência direta
vampirinha_gotica,31,Comemorando,por_personagem/vampirinha_gotica/25_comemorando.png,Comemorando,Correspondência direta
vampirinha_gotica,32,Pensando / processando resposta,por_personagem/vampirinha_gotica/35_analisando.png,Modo “analisando”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,33,Tive uma ideia,por_personagem/vampirinha_gotica/26_tive_uma_ideia.png,Tive uma ideia,Correspondência direta
vampirinha_gotica,34,Explicando algo,por_personagem/vampirinha_gotica/27_explicando_algo.png,Explicando algo,Correspondência direta
vampirinha_gotica,35,Escutando / atenta,por_personagem/vampirinha_gotica/28_escutando_atenta.png,Escutando / atenta,Correspondência direta
vampirinha_gotica,36,Não entendi,por_personagem/vampirinha_gotica/30_nao_entendi.png,Não entendi,Correspondência direta
vampirinha_gotica,37,Entendi,por_personagem/vampirinha_gotica/29_entendi.png,Entendi,Correspondência direta
vampirinha_gotica,38,Elogiando o usuário,por_personagem/vampirinha_gotica/31_elogiando_usuario.png,Elogiando o usuário,Correspondência direta
vampirinha_gotica,39,Motivando / incentivando,por_personagem/vampirinha_gotica/32_motivando_incentivando.png,Motivando / incentivando,Correspondência direta
vampirinha_gotica,40,Confortando,por_personagem/vampirinha_gotica/33_confortando.png,Confortando,Correspondência direta
vampirinha_gotica,41,Modo “vamos resolver isso”,por_personagem/vampirinha_gotica/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência direta
vampirinha_gotica,42,Modo “isso ficou incrível”,por_personagem/vampirinha_gotica/31_elogiando_usuario.png,Elogiando o usuário,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,43,Modo “ops” / erro leve,por_personagem/vampirinha_gotica/24_ops_erro_leve.png,Modo “ops” / erro leve,Correspondência direta
vampirinha_gotica,44,Modo “analisando”,por_personagem/vampirinha_gotica/35_analisando.png,Modo “analisando”,Correspondência direta
vampirinha_gotica,45,Modo “aguardando”,por_personagem/vampirinha_gotica/28_escutando_atenta.png,Escutando / atenta,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,46,Modo “sugestão”,por_personagem/vampirinha_gotica/27_explicando_algo.png,Explicando algo,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,47,Modo “alerta”,por_personagem/vampirinha_gotica/08_surpresa.png,Surpresa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
vampirinha_gotica,48,Modo “segredo / sussurro”,por_personagem/vampirinha_gotica/36_segredo_sussurro.png,Modo “segredo / sussurro”,Correspondência direta
vampirinha_gotica,49,Modo “zoeira leve”,por_personagem/vampirinha_gotica/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
